date,walk_forward,YB_RSI_70_60_50,YB_Consensus_80_60_40,YB_HybridAND_80_60_40,YB_MDD_AND_60_40_20,GB_intraday_opt,bench
2020-10-09,104147.92389343336,101553.62374546636,99837.40097446721,99837.40097446716,102256.84151331538,111725.90252695387,168879.66804979253
2020-10-12,105833.52793892672,103469.34328567942,101987.73528291854,101987.73528291851,103911.83893708144,115690.26251863304,176265.56016597507
2020-10-13,104568.59728115897,102026.57597371058,100362.49022662651,100362.49022662647,102669.87645755048,114095.69629579938,175601.65975103734
2020-10-14,105054.11823080844,102580.35077259489,100986.2988563285,100986.29885632849,103146.58148386,111126.62371840065,173029.04564315354
2020-10-15,105054.11823080844,102580.35077259489,100986.2988563285,100986.29885632849,103146.58148386,108630.99100375497,171784.23236514523
2020-10-16,105054.11823080844,102580.35077259489,100986.2988563285,100986.29885632849,103146.58148386,111265.24904908844,169045.64315352697
2020-10-19,101700.3417200756,98759.74694677108,96687.74641860818,96687.74641860815,99853.70169990962,105819.14350538788,166556.01659751034
2020-10-20,102520.28594683514,99693.82291745499,97738.67311078713,97738.67311078709,100658.75765984696,107256.94233711019,166390.04149377593
2020-10-21,102520.28594683514,99693.82291745499,97738.67311078713,97738.67311078709,100658.75765984696,107256.94233711019,162406.6390041494
2020-10-22,102520.28594683514,99693.82291745499,97738.67311078713,97738.67311078709,100658.75765984696,105899.98840987872,163153.52697095435
2020-10-23,102520.28594683514,99693.82291745499,97738.67311078713,97738.67311078709,100658.75765984696,104841.23312458837,160912.86307053943
2020-10-26,101733.0961524734,98928.33578252618,96988.19836057852,96988.19836057848,99885.86138852702,99371.82261705086,150207.46887966804
2020-10-27,100902.00374967034,98120.15642496898,96195.86864814919,96195.86864814915,99069.85967731373,101591.27987294042,148879.66804979253
2020-10-28,100902.00374967034,98120.15642496898,96195.86864814919,96195.86864814915,99069.85967731373,101591.27987294042,133609.95850622407
2020-10-29,104156.24590450348,101812.10036046624,100332.4848928538,100332.48489285375,102265.01241615489,101591.27987294042,144564.3153526971
2020-10-30,101142.50898559074,98384.48820601735,96482.48931733576,96482.48931733571,99305.99790142082,101591.27987294042,137759.33609958505
2020-11-02,101167.10353170044,98718.66327819691,96515.03604669268,96515.03604669264,99330.1458681744,101591.27987294042,140082.9875518672
2020-11-03,103567.03786610987,101060.51454385174,99585.68936785564,99585.68936785558,101686.50301579431,102683.09069828701,148215.76763485477
2020-11-04,105468.50898492904,102915.96637116543,102016.91074793972,102016.91074793966,103553.44787240226,107065.10916518606,163817.42738589208
2020-11-05,105468.50898492904,102915.96637116543,102016.91074793972,102016.91074793966,103553.44787240226,107065.10916518606,185394.19087136927
2020-11-06,108066.95649462141,105451.5264079813,105368.12386018567,105368.12386018559,106104.71366096626,107065.10916518606,194439.83402489623
2020-11-09,110166.02662895161,107499.79497112478,108075.29086334909,108075.29086334902,108165.66959774679,95476.89009992682,187966.8049792531
2020-11-10,110322.15060270697,107652.14044170534,108228.45190936903,108228.45190936896,108318.9587257861,92658.12503044367,170705.39419087136
2020-11-11,112166.13601301605,109911.93405023075,110963.2443845077,110963.24438450762,110129.46167971709,92658.12503044367,189377.59336099584
2020-11-12,112172.15366981392,109918.78473769223,110971.11565575952,110971.11565575945,110135.37006996106,92658.12503044367,181991.70124481327
