date,R10+RSI 70/60/50,Consensus 80/60/40 (default),Hybrid Cons + (VIX_back OR SOXL_mom5),Hybrid Cons + VIX_back,Hybrid Cons + (VIX_back AND SOXL_mom5),soxl_bnh
2020-12-18,124854.03785517493,131187.72823879353,127950.67538517473,127950.67538517473,131187.72823879353,206634.37139561708
2020-12-21,125105.74065026015,131489.98122792572,128245.47029180088,128245.47029180088,131489.98122792572,204895.04036908882
2020-12-22,125162.84700425851,131558.5564147392,128312.35338814872,128312.35338814872,131558.5564147392,203640.1384083045
2020-12-23,125162.84700425851,131558.5564147392,128312.35338814872,128312.35338814872,131558.5564147392,203432.52595155707
2020-12-24,125162.84700425851,131558.5564147392,128312.35338814872,128312.35338814872,131558.5564147392,203866.20530565165
2020-12-28,125162.84700425851,131558.5564147392,128312.35338814872,128312.35338814872,131558.5564147392,203543.2525951557
2020-12-29,125162.84700425851,131558.5564147392,128312.35338814872,128312.35338814872,131558.5564147392,203580.16147635522
2021-01-04,125162.84700425851,131558.5564147392,128312.35338814872,128312.35338814872,131558.5564147392,212083.04498269898
2021-01-05,126895.24887479535,133639.6147632192,130342.06169073695,130342.06169073695,133639.6147632192,224595.15570934254
2021-01-06,125309.26294834641,131734.41783433524,128483.87543303502,128483.87543303502,131734.41783433524,223307.95847750866
2021-01-07,129517.11339912948,136790.38337070355,133415.08518708267,133415.08518708267,136790.38337070355,248710.49596309112
2021-01-08,129517.11339912948,136790.38337070355,133415.08518708267,133415.08518708267,136790.38337070355,247737.0242214533
2021-01-11,133643.42834175122,141770.99559005513,138272.80096471772,138272.80096471772,141770.99559005513,257047.2895040369
2021-01-12,132220.78870920744,140047.21606751072,136591.5556448566,136591.5556448566,140047.21606751072,259976.93194925028
2021-01-13,134800.927158327,143174.82042554975,139641.98646884557,139641.98646884557,143174.82042554975,265434.83275663207
2021-01-14,134800.927158327,143174.82042554975,139641.98646884557,139641.98646884557,143174.82042554975,279275.6632064591
2021-01-15,134800.927158327,143174.82042554975,139641.98646884557,139641.98646884557,143174.82042554975,261471.7416378316
2021-01-19,138228.21872323295,147335.04492163262,143699.557563139,143699.557563139,147335.04492163262,288249.1349480969
2021-01-20,140350.79582889867,149911.53924742472,146212.47697669192,146212.47697669192,149911.53924742472,286149.94232987316
2021-01-21,140856.60825987058,150528.98901188024,146814.69118863938,146814.69118863938,150528.98901188024,298546.71280276816
2021-01-22,139620.68136943356,149020.2819879777,145343.2114606323,145343.2114606323,149020.2819879777,283700.11534025375
2021-01-25,139620.68136943356,149020.2819879777,145343.2114606323,145343.2114606323,149020.2819879777,281264.12918108416
2021-01-26,139620.68136943356,149020.2819879777,145343.2114606323,145343.2114606323,149020.2819879777,270459.0542099193
2021-01-27,139620.68136943356,149020.2819879777,145343.2114606323,145343.2114606323,149020.2819879777,228890.4267589389
2021-01-28,139620.68136943356,149020.2819879777,145343.2114606323,145343.2114606323,149020.2819879777,243561.70703575545
2021-01-29,137097.93135738964,146022.54114634634,142419.43977508045,142419.43977508045,146022.54114634634,234934.25605536334
2021-02-01,140086.00959911835,150155.08949005263,146450.01762514145,146450.01762514145,150155.08949005263,258948.09688581314
2021-02-02,140086.00959911835,150155.08949005263,146450.01762514145,146450.01762514145,150155.08949005263,270371.3956170704
2021-02-03,140677.6211253574,150789.2247753676,147068.5056432732,147068.5056432732,150789.2247753676,253905.42099192622
2021-02-04,142559.03155760266,153090.77210361767,149313.26236735113,149313.26236735113,153090.77210361767,257896.1937716263
2021-02-05,143681.39111306472,154465.6662028944,150654.23100022002,150654.23100022002,154465.6662028944,253993.07958477509
2021-02-08,147672.3941115745,159369.15783775918,155436.72914123876,155436.72914123876,159369.15783775918,276752.01845444064
2021-02-09,147286.39200257405,158894.90158858304,154974.17514931908,154974.17514931908,158894.90158858304,276078.43137254904
2021-02-10,147286.39200257405,158894.90158858304,154974.17514931908,154974.17514931908,158894.90158858304,275713.9561707036
2021-02-11,152752.87654571852,165634.7078101014,161547.67687532477,161547.67687532477,165634.7078101014,304622.8373702422
