date,V1,V2_FINAL,SOXL_buy_hold
2023-01-20,67601124.63464794,68902037.18286496,2314932.07983419
2023-01-23,73493852.88315104,74908164.78919148,2667873.215690488
2023-01-24,71675258.61804117,73054573.59004563,2613574.539571658
2023-01-25,71226307.2030085,72596982.57718803,2629864.15966838
2023-01-26,72781086.68852535,74181682.15875876,2758370.951684961
2023-01-27,71126095.76671231,72494842.67719159,2711312.0875412594
2023-01-30,66575111.17577009,67856279.17401832,2497737.5479696016
2023-01-31,68158954.1040732,69470601.49376601,2628054.336132648
2023-02-01,74930420.8664507,76372378.0125066,3040723.7913257065
2023-02-02,77605874.63228655,79099318.07231998,3243438.8718507714
2023-02-03,73759352.80844726,75178773.9813266,3064253.3960082904
2023-02-06,70417022.3326141,71772123.8705791,2914027.168066324
2023-02-07,74053490.48900703,75478572.03220728,3183710.3799032774
2023-02-08,70160613.12069322,71670224.05694148,2984615.291671144
2023-02-09,69787061.87363248,71389299.56115602,3000904.911767866
2023-02-10,68408812.11550078,70097951.26892716,2859728.4919474935
2023-02-13,68883492.74144983,70584352.63093153,2971945.663867352
2023-02-14,70781565.48943955,72529292.27947885,3136651.5157595756
2023-02-15,70593377.93754427,72336458.03145973,3174660.7443924164
2023-02-16,66336002.6822674,67973960.36560254,2946606.4082597685
2023-02-17,65523713.79609859,67141614.57566519,2805429.8158286633
2023-02-21,63008513.52454764,64725139.1961157,2535746.6039917096
2023-02-22,61930544.542593814,63621682.71967367,2503167.363798265
2023-02-23,65241841.53123947,66976216.11012137,2729411.7037844476
2023-02-24,64684600.10185597,66404161.098736815,2590045.28011054
2023-02-27,66402816.46349746,68168054.14130434,2624434.343839717
2023-02-28,66464318.503079616,68231191.13740362,2651583.5955937654
2023-03-01,65859754.16204119,67610555.19262463,2657013.584033162
2023-03-02,66263725.437075526,68025265.55002658,2716742.0759806554
2023-03-03,67538596.6581308,69088932.18589512,2838009.0560221076
2023-03-06,65265683.107693866,67232731.77506956,2745701.3238811693
2023-03-07,63093971.940328084,64991263.386043355,2651583.5955937654
2023-03-08,65696833.09439809,67250330.69961488,2861538.488093959
2023-03-09,62921620.52668795,64508085.63933829,2698642.4597374676
2023-03-10,63362062.28221047,64949225.65754659,2542986.415966838
2023-03-13,63798121.70158783,65300442.774026096,2537556.600138175
2023-03-14,65972311.19055458,67166440.58069207,2754751.1320027635
2023-03-15,64154385.40576209,65398744.785603106,2658823.4075688943
2023-03-16,67860237.3955647,69316240.49433015,2971945.663867352
2023-03-17,66711498.10402848,68142853.95674318,2919456.811284254
2023-03-20,67172407.24462114,68613652.3220528,3006334.9002072625
2023-03-21,66557184.677482255,67985229.59531292,3017194.5318645886
2023-03-22,64931138.88763499,66324295.51447795,2939366.4236739073
2023-03-23,67130523.29148701,68570869.71061906,3165610.7636600896
2023-03-24,66233422.33542195,67654520.63780601,2999094.915621401
2023-03-27,66233422.33542195,67654520.63780601,2890497.735994473
2023-03-28,66233422.33542195,67654520.63780601,2828959.247900514
2023-03-29,67537818.487464,68986903.79538003,3091402.647762339
2023-03-30,69100738.64252475,70583357.82353391,3248868.8602901674
2023-03-31,69260543.70111057,70746591.64496273,3312216.9993091254
2023-04-03,68212606.65647872,69676170.15814716,3223529.259461118
2023-04-04,68212606.65647872,69676170.15814716,3038914.1404007073
2023-04-05,68212606.65647872,69676170.15814716,2881447.9278728785
2023-04-06,68104882.45135346,69566134.6322471,2834389.063729177
2023-04-10,69459813.3578268,70950136.8133601,2966515.675427956
2023-04-11,70393590.83183199,71903949.33215572,2933936.4352345113
2023-04-12,70393590.83183199,71903949.33215572,2774660.571781684
2023-04-13,70511542.82978645,72024432.09748027,2836199.0598756424
2023-04-14,69329965.52904591,71029806.42434111,2819909.4397789207
2023-04-17,68481211.27335471,70341542.9244807,2819909.4397789207
