Date,soxl_real,soxl_synth,soxl_spliced,source
2012-10-05,0.4135825037956238,0.4156291842311078,0.4135825037956238,real
2012-10-08,0.3997811079025268,0.40687645618232743,0.3997811079025268,real
2012-10-09,0.3809755444526672,0.3800362637425273,0.3809755444526672,real
2012-10-10,0.3652021586894989,0.36741213658628813,0.3652021586894989,real
2012-10-11,0.3674771189689636,0.3695393215907417,0.3674771189689636,real
2012-10-12,0.3612591624259949,0.3601569020890015,0.3612591624259949,real
2012-10-15,0.3770318627357483,0.37717089177171587,0.3770318627357483,real
2012-10-16,0.4012980759143829,0.40426561085638424,0.4012980759143829,real
2012-10-17,0.3985680341720581,0.39561077320955834,0.3985680341720581,real
2012-10-18,0.3885583579540252,0.3892133665709758,0.3885583579540252,real
2012-10-19,0.3551924228668213,0.36360677746393605,0.3551924228668213,real
2012-10-22,0.3545863628387451,0.3686315864100457,0.3545863628387451,real
2012-10-23,0.3579223155975342,0.373681031313798,0.3579223155975342,real
2012-10-24,0.3413918018341064,0.35958511241072827,0.3413918018341064,real
2012-10-25,0.3551924228668213,0.36729209042823446,0.3551924228668213,real
2012-10-26,0.3601972460746765,0.37894235244643437,0.3601972460746765,real
2012-10-31,0.3597422838211059,0.3702863759032447,0.3597422838211059,real
2012-11-01,0.3964451253414154,0.4069102844379805,0.3964451253414154,real
2012-11-02,0.3743018805980682,0.3862013597816126,0.3743018805980682,real
2012-11-05,0.3929562866687774,0.4011877221494488,0.3929562866687774,real
2012-11-06,0.4085777699947357,0.41076600115414974,0.4085777699947357,real
2012-11-07,0.3777907192707062,0.37308449844131925,0.3777907192707062,real
2012-11-08,0.3639891445636749,0.3613787840558096,0.3639891445636749,real
2012-11-09,0.3665671050548553,0.36271400530442177,0.3665671050548553,real
2012-11-12,0.366871029138565,0.3615423707602035,0.366871029138565,real
2012-11-13,0.3589842617511749,0.3486119727007948,0.3589842617511749,real
2012-11-14,0.3413918018341064,0.3333631854966448,0.3413918018341064,real
2012-11-15,0.3274382054805755,0.3267869297677608,0.3274382054805755,real
2012-11-16,0.3278932273387909,0.32696066386426975,0.3278932273387909,real
2012-11-19,0.3465476930141449,0.3411084843348001,0.3465476930141449,real
2012-11-20,0.3442727029323578,0.32919291775437115,0.3442727029323578,real
2012-11-21,0.3459416627883911,0.3293666536371911,0.3459416627883911,real
2012-11-23,0.3636860251426697,0.34615833631347853,0.3636860251426697,real
2012-11-26,0.3697519898414612,0.3525983049127518,0.3697519898414612,real
2012-11-27,0.3653540015220642,0.35010302480007005,0.3653540015220642,real
2012-11-28,0.3780936598777771,0.3618984555279643,0.3780936598777771,real
2012-11-29,0.3812786638736725,0.3584185851357921,0.3812786638736725,real
2012-11-30,0.3797617256641388,0.3585963872329949,0.3797617256641388,real
2012-12-03,0.3747568428516388,0.35320697669870277,0.3747568428516388,real
2012-12-04,0.3811265826225281,0.36599133328977645,0.3811265826225281,real
2012-12-05,0.3787006735801697,0.3619184985234146,0.3787006735801697,real
2012-12-06,0.3921982944011688,0.377304936475728,0.3921982944011688,real
2012-12-07,0.3947762250900268,0.38158439307235625,0.3947762250900268,real
2012-12-10,0.4020559787750244,0.38470470427884124,0.4020559787750244,real
2012-12-11,0.4263222515583038,0.41042018588646606,0.4263222515583038,real
2012-12-12,0.4213174283504486,0.4077950116396077,0.4213174283504486,real
2012-12-13,0.4094877541065216,0.39456863751619303,0.4094877541065216,real
2012-12-14,0.4009949266910553,0.3917832180743719,0.4009949266910553,real
2012-12-17,0.4056959152221679,0.3978891969252244,0.4056959152221679,real
2012-12-18,0.4245023429393768,0.41732656427511927,0.4245023429393768,real
2012-12-19,0.4278391897678375,0.4221489049293819,0.4278391897678375,real
2012-12-20,0.4270802736282348,0.4211209643958257,0.4270802736282348,real
2012-12-21,0.4135825037956238,0.41018592018968303,0.4135825037956238,real
2012-12-24,0.4099427759647369,0.40315513981787743,0.4099427759647369,real
2012-12-26,0.4006910324096679,0.3995650752909046,0.4006910324096679,real
2012-12-27,0.3943211734294891,0.3947725390033676,0.3943211734294891,real
2012-12-28,0.3874965012073517,0.38286283429444845,0.3874965012073517,real
2012-12-31,0.4078196883201599,0.40207571893160854,0.4078196883201599,real
2013-01-02,0.4596883058547973,0.45010961743232913,0.4596883058547973,real
2013-01-03,0.4514984488487243,0.44389059161751626,0.4514984488487243,real
2013-01-04,0.449981540441513,0.44099350300428203,0.449981540441513,real
2013-01-07,0.4454316198825836,0.4387181148113145,0.4454316198825836,real
2013-01-08,0.430720180273056,0.42579074257051935,0.430720180273056,real
2013-01-09,0.4434597194194793,0.4371354819324055,0.4434597194194793,real
2013-01-10,0.4613562226295471,0.4551286721017734,0.4613562226295471,real
2013-01-11,0.4693939387798309,0.4600882534817633,0.4693939387798309,real
2013-01-14,0.4654510617256164,0.4540350319774861,0.4654510617256164,real
2013-01-15,0.4584743976593017,0.4513242852197444,0.4584743976593017,real
2013-01-16,0.4733378887176513,0.4653671278421317,0.4733378887176513,real
2013-01-17,0.5033668875694275,0.49856074283126034,0.5033668875694275,real
2013-01-18,0.4953281879425049,0.46521911292614676,0.4953281879425049,real
2013-01-22,0.4909301698207855,0.46019468132320174,0.4909301698207855,real
2013-01-23,0.5070068836212158,0.4657881361715519,0.5070068836212158,real
2013-01-24,0.4935082495212555,0.45742185463869267,0.4935082495212555,real
2013-01-25,0.511859655380249,0.46736039737672574,0.511859655380249,real
2013-01-28,0.5153477787971497,0.4748626311823788,0.5153477787971497,real
2013-01-29,0.5057929754257202,0.4702260846686441,0.5057929754257202,real
2013-01-30,0.5083716511726379,0.4729286555237974,0.5083716511726379,real
2013-01-31,0.5038219690322876,0.4653616279830008,0.5038219690322876,real
2013-02-01,0.530666172504425,0.49099534788205657,0.530666172504425,real
2013-02-04,0.5076128244400024,0.4733617340113542,0.5076128244400024,real
2013-02-05,0.5315760970115662,0.4909530420050959,0.5315760970115662,real
2013-02-06,0.5344572067260742,0.4898730513997143,0.5344572067260742,real
2013-02-07,0.527481198310852,0.47734583726712426,0.527481198310852,real
2013-02-08,0.5479555130004883,0.49792255413404896,0.5479555130004883,real
2013-02-11,0.5503815412521362,0.500247907375691,0.5503815412521362,real
2013-02-12,0.5538703799247742,0.5049243596881565,0.5538703799247742,real
2013-02-13,0.5582681894302368,0.5068307483403215,0.5582681894302368,real
2013-02-14,0.5741927027702332,0.5205295769371583,0.5741927027702332,real
2013-02-15,0.5631213188171387,0.5112121967878311,0.5631213188171387,real
2013-02-19,0.5834444165229797,0.5236560885086097,0.5834444165229797,real
2013-02-20,0.5443158149719238,0.48767778561491226,0.5443158149719238,real
2013-02-21,0.5145896673202515,0.4563682133934005,0.5145896673202515,real
2013-02-22,0.5467416644096375,0.4811532165004113,0.5467416644096375,real
2013-02-25,0.5154996514320374,0.4613661971723537,0.5154996514320374,real
2013-02-26,0.5283911824226379,0.4737883283422881,0.5283911824226379,real
2013-02-27,0.5520504117012024,0.4967776587402651,0.5520504117012024,real
2013-02-28,0.5661550760269165,0.49187278836194115,0.5661550760269165,real
2013-03-01,0.5461358428001404,0.4891019117786374,0.5461358428001404,real
2013-03-04,0.5438607931137085,0.4914081497052503,0.5438607931137085,real
2013-03-05,0.574799656867981,0.5146680848236906,0.574799656867981,real
2013-03-06,0.5773777365684509,0.5228122416010779,0.5773777365684509,real
2013-03-07,0.5848095417022705,0.5281914842550064,0.5848095417022705,real
2013-03-08,0.5861743092536926,0.5255707652278652,0.5861743092536926,real
2013-03-11,0.5889044404029846,0.5316089111598167,0.5889044404029846,real
2013-03-12,0.5977000594139099,0.5281133230951536,0.5977000594139099,real
2013-03-13,0.6030089259147644,0.5404446001792671,0.6030089259147644,real
2013-03-14,0.6113498210906982,0.5463177726202946,0.6113498210906982,real
2013-03-15,0.5816245675086975,0.5241687230426885,0.5816245675086975,real
2013-03-18,0.5581163763999939,0.5101038943987584,0.5581163763999939,real
2013-03-19,0.5515954494476318,0.5060170552893394,0.5515954494476318,real
2013-03-20,0.573282778263092,0.5192049527962108,0.573282778263092,real
2013-03-21,0.5461358428001404,0.498457245212059,0.5461358428001404,real
2013-03-22,0.5632731914520264,0.5116426724448788,0.5632731914520264,real
2013-03-25,0.5603915452957153,0.5071112917881775,0.5603915452957153,real
2013-03-26,0.5758607983589172,0.5308636662269841,0.5758607983589172,real
