date,equity
2021-12-07,392427.33482905215
2021-12-08,392427.33482905215
2021-12-09,376214.3463056344
2021-12-10,388423.2133278571
2021-12-13,392785.92974431795
2021-12-14,397397.7405907898
2021-12-15,418541.7750426444
2021-12-16,433557.65693506366
2021-12-17,438827.3910565273
2021-12-20,434807.1571370012
2021-12-21,442970.3424649677
2021-12-22,451580.8610449365
2021-12-23,453883.89123732026
2021-12-27,470167.01426764694
2021-12-28,470425.3613274542
2021-12-29,468266.87583975773
2021-12-30,466610.5222268879
2021-12-31,459271.0179426651
2022-01-03,470984.4784535943
2022-01-04,458344.99331668846
2022-01-05,429180.25498146383
2022-01-06,431272.36860412266
2022-01-07,434242.29413782526
2022-01-10,432976.23772504576
2022-01-11,446880.7914037823
2022-01-12,444208.4466458528
2022-01-13,427089.7993641122
2022-01-14,442179.9278119975
2022-01-18,434113.89128154464
2022-01-19,442766.8076742664
2022-01-20,437110.22105073935
2022-01-21,432506.17419563275
2022-01-24,427466.2550310616
2022-01-25,427466.2550310616
2022-01-26,427466.2550310616
2022-01-27,445801.22479844483
2022-01-28,430878.15820158075
2022-01-31,440104.4711797802
2022-02-01,431366.00842882687
2022-02-02,421396.5684115818
2022-02-03,421396.5684115818
2022-02-04,423738.0678482577
2022-02-07,420595.0468793991
2022-02-08,429862.628345246
2022-02-09,440352.5714244278
2022-02-10,433735.71139690507
2022-02-11,414378.923533318
2022-02-14,411378.81682650046
2022-02-15,420914.90612584626
2022-02-16,425659.9137348864
2022-02-17,423426.67929227
2022-02-18,418586.2881970388
2022-02-22,423835.25298091734
2022-02-23,423719.5752259153
2022-02-24,422790.19216370356
2022-02-25,425135.68256847886
2022-02-28,424153.31675484893
2022-03-01,429863.9685377559
2022-03-02,437049.8640875397
2022-03-03,442297.23406929785
2022-03-04,437333.8980179867
2022-03-07,435004.9016893295
2022-03-08,436596.0877189533
2022-03-09,440880.0623293806
2022-03-10,440880.0623293806
2022-03-11,450213.1563838872
2022-03-14,445007.3864015572
2022-03-15,452417.965938453
2022-03-16,462387.1046185087
2022-03-17,463828.56760820263
2022-03-18,468317.9861562044
2022-03-21,465802.39854551305
2022-03-22,466072.11381253117
2022-03-23,451546.81404802273
2022-03-24,475057.0212210277
2022-03-25,474725.1145506079
2022-03-28,478798.87952475937
2022-03-29,484081.8132364447
2022-03-30,484366.29898303066
2022-03-31,485523.33845057385
2022-04-01,486235.59934163245
2022-04-04,487295.9325534244
2022-04-05,495282.90415435063
2022-04-06,501505.27662074857
2022-04-07,500769.9830620543
2022-04-08,498677.7440532783
2022-04-11,495028.8762370851
2022-04-12,500695.2015052896
2022-04-13,503899.62428552326
2022-04-14,513178.62065030937
2022-04-18,519874.2450449108
2022-04-19,525576.9024724428
2022-04-20,520282.1644910351
2022-04-21,514061.8854916793
2022-04-22,506373.1079487875
2022-04-25,510233.5880581506
2022-04-26,514414.7452801467
2022-04-27,517657.36867641873
2022-04-28,523902.2580902035
2022-04-29,523902.2580902035
2022-05-02,532060.1785289026
2022-05-03,533279.5900693163
2022-05-04,513534.90910357796
2022-05-05,519115.8410861542
2022-05-06,517817.97237367474
2022-05-09,511238.42667875334
2022-05-10,511238.42667875334
2022-05-11,503318.4418381396
2022-05-12,506070.21799070504
2022-05-13,508971.93595724925
2022-05-16,504704.82079722383
2022-05-17,512526.30720927886
2022-05-18,512526.30720927886
2022-05-19,510597.04168474197
2022-05-20,515875.81310014834
2022-05-23,517758.19945324096
2022-05-24,509775.89122491615
2022-05-25,520109.51191932714
2022-05-26,531988.6994428533
2022-05-27,540520.6230164734
2022-05-31,537248.9599030766
2022-06-01,540706.502640372
2022-06-02,553303.4185333061
2022-06-03,549478.8161371406
2022-06-06,549478.8161371406
2022-06-07,555070.7010202892
2022-06-08,551717.9543023055
2022-06-09,549039.1956403276
2022-06-10,543725.7171416573
2022-06-13,543725.7171416573
2022-06-14,543725.7171416573
2022-06-15,543839.0850439003
2022-06-16,539056.8468597321
2022-06-17,526857.923890706
2022-06-21,523482.5049194471
2022-06-22,523482.5049194471
2022-06-23,519493.8165673184
2022-06-24,508999.9502425166
2022-06-27,503757.02244395466
2022-06-28,495506.4924715634
2022-06-29,489227.12559567904
2022-06-30,495756.2422922997
2022-07-01,491260.09211645334
2022-07-05,491260.09211645334
2022-07-06,491166.73440503824
2022-07-07,494416.6923597342
2022-07-08,498634.51415371214
2022-07-11,491964.0799969958
2022-07-12,491029.8530043991
2022-07-13,485062.307520855
2022-07-14,490125.5613877228
2022-07-15,493457.66538860055
2022-07-18,488700.7767627498
2022-07-19,495867.6058016503
2022-07-20,501917.6734183498
2022-07-21,504151.96895886096
2022-07-22,504275.5999606799
2022-07-25,506285.5176462049
2022-07-26,501484.5153398552
2022-07-27,506706.61337124504
2022-07-28,492263.96587091766
2022-07-29,501974.13284620974
2022-08-01,502270.26746752096
2022-08-02,501481.4917794949
2022-08-03,507898.530612026
2022-08-04,509012.0152370963
2022-08-05,506277.58502982743
2022-08-08,504227.721467271
2022-08-09,497971.3273322849
2022-08-10,497971.3273322849
2022-08-11,493124.0538269152
2022-08-12,500293.31043797906
2022-08-15,500263.69240252196
2022-08-16,499557.5917727634
2022-08-17,493949.7796995401
2022-08-18,496276.3816063592
2022-08-19,494227.87439977983
2022-08-22,494227.87439977983
2022-08-23,494435.7720028855
2022-08-24,493405.17003504944
2022-08-25,502578.3732674922
2022-08-26,522553.5981000848
2022-08-29,521238.12697871577
2022-08-30,525324.7559388357
2022-08-31,521404.08348087664
2022-09-01,535966.8398024612
2022-09-02,530033.3959730049
2022-09-06,525170.7677140648
2022-09-07,527311.5853833759
2022-09-08,532543.234777105
2022-09-09,536211.3774575462
2022-09-12,536800.803080571
2022-09-13,536800.803080571
2022-09-14,536822.7037471546
2022-09-15,531078.4445771773
2022-09-16,531058.9439450086
2022-09-19,533271.9082937943
2022-09-20,528251.161621411
2022-09-21,523794.46464066923
2022-09-22,522910.8076499767
2022-09-23,526267.9797635596
2022-09-26,520666.43591024977
2022-09-27,525925.8474473474
2022-09-28,531077.5767898144
2022-09-29,528281.4886693122
2022-09-30,525243.1278251183
2022-10-03,534341.3660926397
2022-10-04,539282.8439032637
2022-10-05,546146.1115830273
2022-10-06,542588.3622369436
