date,close
2022-11-30,13.85
2022-12-01,13.47
2022-12-02,13.03
2022-12-05,12.59
2022-12-06,11.72
2022-12-07,11.71
2022-12-08,12.66
2022-12-09,12.31
2022-12-12,13.0
2022-12-13,13.64
2022-12-14,12.97
2022-12-15,11.38
2022-12-16,11.1
2022-12-19,10.68
2022-12-20,10.43
2022-12-21,11.17
2022-12-22,9.77
2022-12-23,9.77
2022-12-27,9.25
2022-12-28,8.86
2022-12-29,9.71
2022-12-30,9.68
2023-01-03,9.35
2023-01-04,10.12
2023-01-05,9.56
2023-01-06,10.89
2023-01-09,11.54
2023-01-10,11.98
2023-01-11,12.42
2023-01-12,12.84
2023-01-13,12.96
2023-01-17,13.07
2023-01-18,12.82
2023-01-19,11.75
2023-01-20,12.84
2023-01-23,14.76
2023-01-24,14.41
2023-01-25,14.54
2023-01-26,15.26
2023-01-27,14.96
2023-01-30,13.77
2023-01-31,14.55
2023-02-01,16.82
2023-02-02,17.95
2023-02-03,16.91
2023-02-06,16.07
2023-02-07,17.62
2023-02-08,16.46
2023-02-09,16.58
2023-02-10,15.76
2023-02-13,16.46
2023-02-14,17.35
2023-02-15,17.58
2023-02-16,16.28
2023-02-17,15.49
2023-02-21,13.99
2023-02-22,13.79
2023-02-23,15.11
2023-02-24,14.28
2023-02-27,14.53
2023-02-28,14.65
2023-03-01,14.69
2023-03-02,15.02
2023-03-03,15.69
2023-03-06,15.16
2023-03-07,14.68
2023-03-08,15.84
2023-03-09,14.89
2023-03-10,14.04
2023-03-13,14.02
2023-03-14,15.26
2023-03-15,14.7
2023-03-16,16.42
2023-03-17,16.11
2023-03-20,16.62
2023-03-21,16.66
2023-03-22,16.21
2023-03-23,17.5
2023-03-24,16.56
2023-03-27,15.97
2023-03-28,15.61
2023-03-29,17.13
2023-03-30,17.95
2023-03-31,18.28
2023-04-03,17.79
2023-04-04,16.78
2023-04-05,15.9
2023-04-06,15.66
2023-04-10,16.45
2023-04-11,16.21
2023-04-12,15.3
2023-04-13,15.68
2023-04-14,15.58
2023-04-17,15.58
2023-04-18,15.78
2023-04-19,15.25
2023-04-20,15.22
2023-04-21,14.85
2023-04-24,14.66
2023-04-25,13.18
2023-04-26,13.39
2023-04-27,13.53
2023-04-28,14.26
2023-05-01,14.64
2023-05-02,14.33
2023-05-03,13.83
2023-05-04,13.59
2023-05-05,14.49
2023-05-08,14.66
2023-05-09,13.92
2023-05-10,14.32
2023-05-11,14.05
2023-05-12,14.01
2023-05-15,15.13
2023-05-16,15.04
2023-05-17,16.17
2023-05-18,17.68
2023-05-19,17.37
2023-05-22,17.54
2023-05-23,16.89
2023-05-24,16.01
2023-05-25,19.18
2023-05-26,22.91
2023-05-30,22.86
2023-05-31,21.11
2023-06-01,22.14
2023-06-02,22.02
2023-06-05,20.96
2023-06-06,21.72
2023-06-07,21.63
