date,regime,active_CHAMP,BASE_equity,CHAMP_equity,CHAMP_cash,BASE_dd_%,CHAMP_dd_%,CHAMP_ret_%,k_today,VIX,scale
2014-03-06,BULL,longbyungi,356932.97641269694,547412.3984438565,46684.205015812186,-0.4101408952109309,-0.7948951812204785,-0.15278244033350985,0.9148486956440036,14.210000038146973,1.4074595317600056
2014-03-07,BULL,longbyungi,358911.63672107086,551685.3449580839,551685.3449580839,0.0,-0.02052816280072589,0.7805717456115691,0.9213324107947826,14.109999656677246,1.4174344781458192
2014-03-10,BULL,longbyungi,358911.63672107086,551685.3449580839,551685.3449580839,0.0,-0.02052816280072589,0.0,0.9154929700434103,14.199999809265137,1.4084507231437082
2014-03-11,BULL,longbyungi,358911.63672107086,551685.3449580839,551685.3449580839,0.0,-0.02052816280072589,0.0,0.8783783670582854,14.800000190734863,1.3513513339358236
2014-03-12,BULL,longbyungi,364808.13431746606,564212.7030109866,56045.445019938925,0.0,0.0,2.2707433081903705,0.8984104879128209,14.470000267028809,1.3821699814043398
2014-03-13,BULL,longbyungi,367135.3002965003,569156.8653703028,569156.8653703028,0.0,0.0,0.8762940523903806,0.8014796886764752,16.219999313354492,1.233045674886885
2014-03-14,BULL,longbyungi,361852.67555376445,559965.5451020228,153947.0238144148,-1.4388768223784543,-1.6149010628730531,-1.6149010628730531,0.7295174086773875,17.81999969482422,1.1223344748882884
2014-03-17,BULL,longbyungi,366244.3493187584,567531.7290360442,95901.77545361122,-0.24267646751003902,-0.28553399478037367,1.3511874079043418,0.8312020277896056,15.640000343322754,1.278772350445547
2014-03-18,BULL,longbyungi,372297.1373879674,580078.1469493692,59938.364460235054,0.0,0.0,2.210698939182687,0.8953167761815775,14.520000457763672,1.3774104248947345
2014-03-19,BULL,longbyungi,367791.20361874707,570804.3516380207,81390.56319894444,-1.210305779097276,-1.5987148214631763,-1.5987148214631763,0.8597883662959637,15.119999885559082,1.322751332763021
2014-03-20,BULL,longbyungi,377199.5601810188,591117.2855049265,58897.20759815961,0.0,0.0,3.5586508422043917,0.8953167761815775,14.520000457763672,1.3774104248947345
2014-03-21,BULL,longbyungi,379940.1453318989,596954.8922522329,596954.8922522329,0.0,0.0,0.9875547358287884,0.8666666666666667,15.0,1.3333333333333333
2014-03-24,BULL,longbyungi,379940.1453318989,596954.8922522329,596954.8922522329,0.0,0.0,0.0,0.8614976718718282,15.09000015258789,1.3253810336489664
2014-03-25,BULL,longbyungi,379217.53759892064,595335.2805578043,43430.40253071906,-0.19018988697470096,-0.2713122407487112,-0.2713122407487112,0.9272467600242595,14.020000457763672,1.4265334769603992
2014-03-26,BULL,longbyungi,367921.357077808,572062.7272629053,78351.48225911637,-3.163337278715783,-4.169856937667882,-3.90915070128105,0.8707300558790539,14.930000305175781,1.3395847013523907
2014-03-27,BULL,longbyungi,358194.720161136,551436.1107166342,62878.675187286455,-5.723381811039485,-7.625162659085049,-3.6056564364822963,0.8891928934172403,14.619999885559082,1.3679890667957542
2014-03-28,BULL,longbyungi,359278.0497239885,553710.7004027185,54445.68845908018,-5.4382501722372245,-7.2441305718024545,0.4124847179718172,0.9021512933835784,14.40999984741211,1.3879250667439667
2014-03-31,BULL,longbyungi,366469.578010867,569291.0525046301,35819.76072273438,-3.5454445881902275,-4.634159147809436,2.8138072987536233,0.9365994159088402,13.880000114440918,1.4409221783212927
