date,equity,cash,regime,active
2019-06-25,991527.2283795403,480664.1292003278,BEAR,yangbyungi
2019-06-26,1024808.5195536561,1024808.5195536561,BEAR,yangbyungi
2019-06-27,1031401.703291728,307442.55586609687,BEAR,yangbyungi
2019-06-28,1051407.2993147485,1051407.2993147485,BEAR,yangbyungi
2019-07-01,1051407.2993147485,1051407.2993147485,BEAR,yangbyungi
2019-07-02,1051407.2993147485,1051407.2993147485,BEAR,yangbyungi
2019-07-03,1051407.2993147485,1051407.2993147485,BEAR,yangbyungi
2019-07-05,1052256.7342937938,420562.91972589947,BEAR,yangbyungi
2019-07-08,1034325.634553909,1034325.634553909,BEAR,yangbyungi
2019-07-09,1050324.7891307706,310297.6903661726,BEAR,yangbyungi
2019-07-10,1053612.0074316547,505001.57675296103,BEAR,yangbyungi
2019-07-11,1061315.2006452777,1061315.2006452777,BEAR,yangbyungi
2019-07-12,1083289.7873811307,318394.56019358337,BEAR,yangbyungi
2019-07-15,1088136.1124185128,518147.10616654216,BEAR,yangbyungi
2019-07-16,1079416.464866199,1079416.464866199,BEAR,yangbyungi
2019-07-17,1079416.464866199,1079416.464866199,BEAR,yangbyungi
2019-07-18,1098482.8560263882,323824.9394598596,BEAR,yangbyungi
2019-07-19,1108287.670579785,1108287.670579785,BEAR,yangbyungi
2019-07-22,1126994.9539208263,332486.3011739355,BEAR,yangbyungi
2019-07-23,1143655.5911538177,342864.3862799769,BEAR,yangbyungi
2019-07-24,1202004.4382794925,347977.4191358839,BEAR,yangbyungi
2019-07-25,1185434.3057675709,1185434.3057675709,BEAR,yangbyungi
2019-07-26,1185434.3057675709,1185434.3057675709,BEAR,yangbyungi
2019-07-29,1185528.9660682036,355630.2917302713,BEAR,yangbyungi
2019-07-30,1166382.8822259302,348736.5287159474,BEAR,yangbyungi
2019-07-31,1162098.0477259315,691548.2688321103,BEAR,yangbyungi
2019-08-01,1108143.3535275285,189132.45316689461,BEAR,yangbyungi
2019-08-02,1075417.4912257062,516085.2164892488,BEAR,yangbyungi
2019-08-05,1025815.4951189596,1025815.4951189596,BEAR,yangbyungi
2019-08-06,1025815.4951189596,1025815.4951189596,BEAR,yangbyungi
2019-08-07,1058108.3292833394,410326.1980475838,BEAR,yangbyungi
2019-08-08,1098841.0637531332,430906.3428499708,BEAR,yangbyungi
2019-08-09,1076760.7754955585,1076760.7754955585,BEAR,yangbyungi
2019-08-12,1059325.721153083,587759.4757408116,BEAR,yangbyungi
2019-08-13,1104954.6947985496,422844.8039709118,BEAR,yangbyungi
2019-08-14,1057386.744799989,1057386.744799989,BEAR,yangbyungi
2019-08-15,1057386.744799989,1057386.744799989,BEAR,yangbyungi
2019-08-16,1070684.8270665803,422954.69791999564,BEAR,yangbyungi
2019-08-19,1115328.0243713409,1115328.0243713409,BEAR,yangbyungi
2019-08-20,1115328.0243713409,1115328.0243713409,BEAR,yangbyungi
2019-08-21,1115328.0243713409,1115328.0243713409,BEAR,yangbyungi
2019-08-22,1115328.0243713409,1115328.0243713409,BEAR,yangbyungi
2019-08-23,1054994.0373222372,148997.91376378248,BEAR,yangbyungi
2019-08-26,1056785.9344290001,1056785.9344290001,BEAR,yangbyungi
2019-08-27,1056785.9344290001,1056785.9344290001,BEAR,yangbyungi
2019-08-28,1066524.1997950012,528392.9672145001,BEAR,yangbyungi
2019-08-29,1093394.9713653808,544921.8798458757,BEAR,yangbyungi
2019-08-30,1093702.9386619956,688934.3212911575,BEAR,yangbyungi
2019-09-03,1080465.3934653024,1080465.3934653024,BEAR,yangbyungi
2019-09-04,1090690.1056920337,432186.157386121,BEAR,yangbyungi
2019-09-05,1132157.808209576,1132157.808209576,BEAR,yangbyungi
2019-09-06,1132157.808209576,1132157.808209576,BEAR,yangbyungi
2019-09-09,1117986.746881739,619038.0244087887,BEAR,yangbyungi
2019-09-10,1118557.0284456979,443902.4267955221,BEAR,yangbyungi
2019-09-11,1137088.647089519,451059.98345526063,BEAR,yangbyungi
2019-09-12,1153930.1029997186,1153930.1029997186,BEAR,yangbyungi
2019-09-13,1153930.1029997186,1153930.1029997186,BEAR,yangbyungi
2019-09-16,1148140.6521074516,633104.7713349342,BEAR,yangbyungi
2019-09-17,1144290.5891596782,457700.5454277451,BEAR,yangbyungi
2019-09-18,1141223.2908480868,1141223.2908480868,BEAR,yangbyungi
2019-09-19,1141223.2908480868,1141223.2908480868,BEAR,yangbyungi
2019-09-20,1142642.5506532753,684733.974508852,BEAR,yangbyungi
2019-09-23,1159361.349851155,458106.6306118473,BEAR,yangbyungi
2019-09-24,1176062.3855869533,704013.5437015514,BEAR,yangbyungi
2019-09-25,1217146.5858060988,472132.8891033563,BEAR,yangbyungi
2019-09-26,1217226.7523906743,1217226.7523906743,BEAR,yangbyungi
2019-09-27,1214338.369622129,851259.4926046703,BEAR,yangbyungi
2019-09-30,1207782.4706425206,664778.9305348127,BEAR,yangbyungi
2019-10-01,1173215.9328212487,658622.8783617928,BEAR,yangbyungi
2019-10-02,1157499.326676929,1157499.326676929,BEAR,yangbyungi
2019-10-03,1180355.0368394088,462999.73067077156,BEAR,yangbyungi
2019-10-04,1206481.3614831707,474733.6469693965,BEAR,yangbyungi
2019-10-07,1178059.1255288883,654266.7148516985,BEAR,yangbyungi
2019-10-08,1161285.196975369,1161285.196975369,BEAR,yangbyungi
2019-10-09,1156373.6034739786,637368.6941243336,BEAR,yangbyungi
2019-10-10,1163680.1848444028,463875.15930576273,BEAR,yangbyungi
2019-10-11,1201949.008796637,1201949.008796637,BEAR,yangbyungi
2019-10-14,1201949.008796637,1201949.008796637,BEAR,yangbyungi
2019-10-15,1224470.6536152395,480779.6035186548,BEAR,yangbyungi
2019-10-16,1213119.9458725175,1213119.9458725175,BEAR,yangbyungi
2019-10-17,1213119.9458725175,1213119.9458725175,BEAR,yangbyungi
2019-10-18,1213119.9458725175,1213119.9458725175,BEAR,yangbyungi
2019-10-21,1224775.8765595625,485247.97834900697,BEAR,yangbyungi
2019-10-22,1228308.2662271825,1228308.2662271825,BEAR,yangbyungi
2019-10-23,1228308.2662271825,1228308.2662271825,BEAR,yangbyungi
2019-10-24,1239813.820109713,491323.306490873,BEAR,yangbyungi
