date,yangbyungi_consensus,yangbyungi_rsi,goldenbyungi,soxl_bnh
2021-10-18,211921.82062355662,187869.7116060043,195975.5107755106,19769.319492502884
2021-10-19,214196.01266043173,189634.7257524198,200120.71856737012,20461.361014994232
2021-10-20,213574.8786951098,189153.1302033365,195962.9657298367,20339.10034602076
2021-10-21,217435.26612478454,192144.72183742386,199351.76141954603,21051.90311418685
2021-10-22,207884.8451667738,184752.02518627045,186705.52110387143,20309.111880046137
2021-10-25,207968.9460473169,184811.44010488014,187215.83963499765,20659.746251441753
2021-10-26,212204.19596350988,188100.44665967012,191964.99414282356,20507.497116493658
2021-10-27,206481.51297167,183661.87126193556,186201.71836400815,20325.259515570935
2021-10-28,213174.38652928566,188853.17970626248,196137.31993559483,21621.683967704732
2021-10-29,212729.95290270651,188509.73707766665,194318.90592928656,21970.011534025376
2021-11-01,216797.4980494292,191663.1884320405,200195.4318208084,23008.073817762397
2021-11-02,220146.25332181135,194253.79206608894,205569.7839843606,23903.114186851213
2021-11-03,222999.89850415703,196457.11721997993,210876.3552545021,24758.93886966551
2021-11-04,233395.21349241125,204464.68865500088,226341.18089998607,27284.89042675894
2021-11-05,237466.62727182545,207598.7359651957,236091.1193005746,28041.52249134948
2021-11-08,234245.70746873246,205134.9096729786,236076.45800915585,29296.424452133797
2021-11-09,237935.58161944908,207957.46021856432,231950.85060643664,29148.788927335638
2021-11-10,237935.58161944908,207957.46021856432,206130.6265097999,26809.688581314877
2021-11-11,240000.46064684205,209536.5898336622,211732.55335750376,28419.838523644754
2021-11-12,241592.15640382652,210752.89224979782,211732.55335750376,29333.333333333332
2021-11-15,241874.19897958747,210968.27323665217,211732.55335750376,29056.51672433679
2021-11-16,245857.65900535136,214008.43099573534,216721.32288446833,30468.28143021915
2021-11-17,240379.08666540417,209830.34355413032,208697.43477906092,29843.137254901965
2021-11-18,249345.393831963,216665.74412608,216777.9243365409,31312.5720876586
2021-11-19,247847.6631563082,215526.9881195628,214175.14452111677,31607.843137254906
2021-11-22,235236.22016631812,206052.0228679923,200241.3209689499,30126.87427912341
2021-11-23,229086.7348894359,201343.33303127793,198232.82484650429,29771.62629757786
2021-11-24,230854.11042525366,202730.28795231692,206386.7304989535,30777.393310265277
2021-11-26,225767.990728617,198806.549332576,184197.74045911533,28143.021914648216
2021-11-29,225767.990728617,198806.549332576,195988.79756962057,31570.934256055367
2021-11-30,213565.5179276449,189242.14683859734,195988.79756962057,29730.103806228377
2021-12-01,221307.53326732395,194695.3835616255,195988.79756962057,29402.53748558247
2021-12-02,225505.45970234904,197926.8699674136,198043.2503091109,29158.016147635524
2021-12-03,230616.53999306337,201861.28538273196,209177.6153402483,29014.994232987312
2021-12-06,227937.12791945355,198853.53302944914,208055.47144027142,28890.42675893887
2021-12-07,230949.38698121367,199519.06195550037,225201.60361423763,33107.26643598616
2021-12-08,232006.1483478489,200203.770538205,219007.46803376052,32560.55363321799
2021-12-09,218109.76512664408,191194.00479048607,210547.56689056155,30465.974625144172
2021-12-10,226021.80288264639,196324.27949675557,217185.55631465223,31220.299884659747
2021-12-13,228091.01771771454,198121.6154459325,217185.55631465223,28830.449826989618
2021-12-14,228762.9286965592,198819.84017964924,217185.55631465223,28207.612456747403
2021-12-15,246588.4773665954,212368.9972342278,237255.8900887191,31506.343713956176
2021-12-16,252042.75153499484,217332.94548263893,231187.78721903893,27314.878892733563
2021-12-17,255221.10346284194,219938.8220528682,231187.78721903893,27049.59630911188
2021-12-20,252703.9095788247,217841.09920807593,229882.65272343036,26638.985005767012
2021-12-21,259207.64289948833,222053.70955994417,242080.99362200906,29310.26528258362
2021-12-22,264465.35238711745,225431.77515956445,239021.69220159226,30099.19261822376
