date,strategy,leg,ticker,action,qty,price,pnl,side,regime_today,active_today,bear_streak,equity_eod,cash_eod,reason_short,reason_detail
2022-03-01,yangbyungi,SHORT,SOXS,STOP_BUY,2780.6758273766054,9099.3474,0.0,,BEAR,yangbyungi,1,64160753.0600749,37966786.76618728,양변기 v5 SOXS SHORT(롱) 진입,"BEAR regime — SOXS intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2022-03-02,yangbyungi,SHORT,SOXS,MOO_SELL,2780.6758273766054,9215.39,304852.2811154127,,BEAR,yangbyungi,2,65299681.06024161,31791415.11238045,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXS 시가 @ 9215.3900
2022-03-02,yangbyungi,LONG,SOXL,STOP_BUY,835201.0677954174,38.051067264633176,0.0,,BEAR,yangbyungi,2,65299681.06024161,31791415.11238045,양변기 v5 SOXL LONG 진입,"BEAR regime — SOXL intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2022-03-03,yangbyungi,LONG,SOXL,MOO_SELL,835201.0677954174,40.62967652511597,2130657.2233525403,,BEAR,yangbyungi,3,66284131.071091525,39428092.46886806,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXL 시가 @ 40.6297
2022-03-03,yangbyungi,SHORT,SOXS,STOP_BUY,2970.800730334454,8844.820199999998,0.0,,BEAR,yangbyungi,3,66284131.071091525,39428092.46886806,양변기 v5 SOXS SHORT(롱) 진입,"BEAR regime — SOXS intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2022-03-04,yangbyungi,SHORT,SOXS,MOO_SELL,2970.800730334454,9315.34,1378937.9894620257,,BEAR,yangbyungi,4,64370345.82199744,21115328.56455732,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXS 시가 @ 9315.3400
2022-03-04,yangbyungi,LONG,SOXL,STOP_BUY,901511.878646675,37.19804080967902,0.0,,BEAR,yangbyungi,4,64370345.82199744,21115328.56455732,양변기 v5 SOXL LONG 진입,"BEAR regime — SOXL intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2022-03-04,yangbyungi,LONG,SOXL,LOC_SELL,225377.9696616688,34.752615457534795,-556820.6333143031,loser,BEAR,yangbyungi,4,64370345.82199744,21115328.56455732,양변기 v5 loser LOC 전량청산,"종가 > entry → loc_on_loss 100% 적용. SOXL 종가 @ 34.7526, pnl $-556,821. F1_A6 asymmetric LOC"
2022-03-04,yangbyungi,SHORT,SOXS,STOP_BUY,2714.2049391782707,9884.1396,0.0,,BEAR,yangbyungi,4,64370345.82199744,21115328.56455732,양변기 v5 SOXS SHORT(롱) 진입,"BEAR regime — SOXS intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2022-03-04,yangbyungi,SHORT,SOXS,LOC_SELL,678.5512347945677,9695.15,-132889.0693404004,loser,BEAR,yangbyungi,4,64370345.82199744,21115328.56455732,양변기 v5 loser LOC 전량청산,"종가 > entry → loc_on_loss 100% 적용. SOXS 종가 @ 9695.1500, pnl $-132,889. F1_A6 asymmetric LOC"
2022-03-07,yangbyungi,LONG,SOXL,MOO_SELL,676133.9089850063,34.80258969497681,-1636684.4496794716,,BEAR,yangbyungi,5,61373854.34918827,13134441.872734614,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXL 시가 @ 34.8026
2022-03-07,yangbyungi,SHORT,SOXS,MOO_SELL,2035.653704383703,9635.18,-520702.6333196648,,BEAR,yangbyungi,5,61373854.34918827,13134441.872734614,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXS 시가 @ 9635.1800
2022-03-07,yangbyungi,LONG,SOXL,STOP_BUY,908129.2932144582,35.3599708400917,0.0,,BEAR,yangbyungi,5,61373854.34918827,13134441.872734614,양변기 v5 SOXL LONG 진입,"BEAR regime — SOXL intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2022-03-07,yangbyungi,LONG,SOXL,LOC_SELL,227032.3233036145,29.5652099237442,-1320757.0739477566,loser,BEAR,yangbyungi,5,61373854.34918827,13134441.872734614,양변기 v5 loser LOC 전량청산,"종가 > entry → loc_on_loss 100% 적용. SOXL 종가 @ 29.5652, pnl $-1,320,757. F1_A6 asymmetric LOC"
2022-03-07,yangbyungi,SHORT,SOXS,STOP_BUY,2512.751713636357,10223.5092,0.0,,BEAR,yangbyungi,5,61373854.34918827,13134441.872734614,양변기 v5 SOXS SHORT(롱) 진입,"BEAR regime — SOXS intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2022-03-08,yangbyungi,LONG,SOXL,MOO_SELL,681096.9699108436,29.6551650762558,-3901024.4839033857,,BEAR,yangbyungi,6,61972717.31727515,30471097.545913152,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXL 시가 @ 29.6552
2022-03-08,yangbyungi,SHORT,SOXS,MOO_SELL,2512.751713636357,10994.5,1918647.9977558288,,BEAR,yangbyungi,6,61972717.31727515,30471097.545913152,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXS 시가 @ 10994.5000
2022-03-08,yangbyungi,LONG,SOXL,STOP_BUY,1010963.4122472008,30.130107602477068,0.0,,BEAR,yangbyungi,6,61972717.31727515,30471097.545913152,양변기 v5 SOXL LONG 진입,"BEAR regime — SOXL intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2022-03-09,yangbyungi,LONG,SOXL,MOO_SELL,1010963.4122472008,34.10293893241882,3993659.076634117,,BEAR,yangbyungi,7,64935854.16846043,64935854.16846043,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXL 시가 @ 34.1029
2022-03-11,yangbyungi,SHORT,SOXS,STOP_BUY,2610.15787199776,9947.7714,0.0,,BEAR,yangbyungi,9,66211560.68473287,38961512.50107625,양변기 v5 SOXS SHORT(롱) 진입,"BEAR regime — SOXS intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2022-03-14,yangbyungi,SHORT,SOXS,MOO_SELL,2610.15787199776,10514.74,1461183.9196414985,,BEAR,yangbyungi,10,64154835.42618018,14231564.176431358,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXS 시가 @ 10514.7400
2022-03-14,yangbyungi,LONG,SOXL,STOP_BUY,1088974.2242097247,30.47538030743122,0.0,,BEAR,yangbyungi,10,64154835.42618018,14231564.176431358,양변기 v5 SOXL LONG 진입,"BEAR regime — SOXL intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2022-03-14,yangbyungi,LONG,SOXL,LOC_SELL,272243.5560524312,27.896044847488405,-707769.3933915747,loser,BEAR,yangbyungi,10,64154835.42618018,14231564.176431358,양변기 v5 loser LOC 전량청산,"종가 > entry → loc_on_loss 100% 적용. SOXL 종가 @ 27.8960, pnl $-707,769. F1_A6 asymmetric LOC"
2022-03-14,yangbyungi,SHORT,SOXS,STOP_BUY,2379.6770549212256,11156.7756,0.0,,BEAR,yangbyungi,10,64154835.42618018,14231564.176431358,양변기 v5 SOXS SHORT(롱) 진입,"BEAR regime — SOXS intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2022-03-15,yangbyungi,LONG,SOXL,MOO_SELL,816730.6681572935,28.435775762557984,-1682647.674461607,,BEAR,yangbyungi,11,66621538.79955195,31872333.637154184,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXL 시가 @ 28.4358
2022-03-15,yangbyungi,SHORT,SOXS,MOO_SELL,2379.6770549212256,11054.47,-261953.74594039097,,BEAR,yangbyungi,11,66621538.79955195,31872333.637154184,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXS 시가 @ 11054.4700
2022-03-15,yangbyungi,LONG,SOXL,STOP_BUY,1102799.2672163453,28.89118914977073,0.0,,BEAR,yangbyungi,11,66621538.79955195,31872333.637154184,양변기 v5 SOXL LONG 진입,"BEAR regime — SOXL intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2022-03-16,yangbyungi,LONG,SOXL,MOO_SELL,1102799.2672163453,33.023480915069584,4533190.522223607,,BEAR,yangbyungi,12,71060599.60389505,34138928.89826598,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXL 시가 @ 33.0235
2022-03-16,yangbyungi,LONG,SOXL,STOP_BUY,1017125.936133184,33.55236872972488,0.0,,BEAR,yangbyungi,12,71060599.60389505,34138928.89826598,양변기 v5 SOXL LONG 진입,"BEAR regime — SOXL intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2022-03-17,yangbyungi,LONG,SOXL,MOO_SELL,1017125.936133184,35.232375000000005,1684290.9889629856,,BEAR,yangbyungi,13,71076599.38024083,34981074.39274748,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXL 시가 @ 35.2324
2022-03-17,yangbyungi,LONG,SOXL,STOP_BUY,976874.8103436272,35.79663937499999,0.0,,BEAR,yangbyungi,13,71076599.38024083,34981074.39274748,양변기 v5 SOXL LONG 진입,"BEAR regime — SOXL intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2022-03-18,yangbyungi,LONG,SOXL,MOO_SELL,976874.8103436272,36.59169561004639,751920.389470093,,BEAR,yangbyungi,14,72595736.7661381,35357034.58748253,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXL 시가 @ 36.5917
2022-03-18,yangbyungi,LONG,SOXL,STOP_BUY,950694.5090484864,37.17773019481658,0.0,,BEAR,yangbyungi,14,72595736.7661381,35357034.58748253,양변기 v5 SOXL LONG 진입,"BEAR regime — SOXL intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2022-03-21,yangbyungi,LONG,SOXL,MOO_SELL,950694.5090484864,38.68065076255799,1403576.9801032692,,NEUTRAL,longbyungi,0,71541833.31879169,0.0,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXL 시가 @ 38.6807
2022-03-21,longbyungi,LONG,SOXL,STOP_BUY,1834405.98253312,39.30014102477073,0.0,,NEUTRAL,longbyungi,0,71541833.31879169,0.0,롱변기 진입,"NEUTRAL regime — SOXL intraday High가 시가 × (1+breakout_thr) 터치 → stop-buy 체결 (entry × 39.3001, slippage +0.05%)"
2022-03-22,longbyungi,LONG,SOXL,MOO_SELL,1834405.98253312,38.77060591506958,-1021507.0790336728,,NEUTRAL,longbyungi,0,71429336.92255431,0.0,롱변기 익일 MOO 청산,"전일 carry position을 익일 시가에 청산. SOXL @ 38.7706 (slippage −0.05%, commission 0.035%)"
2022-03-22,longbyungi,LONG,SOXL,STOP_BUY,1804226.7402690367,39.39153685472488,0.0,,NEUTRAL,longbyungi,0,71429336.92255431,0.0,롱변기 진입,"NEUTRAL regime — SOXL intraday High가 시가 × (1+breakout_thr) 터치 → stop-buy 체결 (entry × 39.3915, slippage +0.05%)"
2022-03-23,longbyungi,LONG,SOXL,MOO_SELL,1804226.7402690367,38.49074332237244,-1674416.8309027106,,NEUTRAL,longbyungi,0,65108016.93170672,0.0,롱변기 익일 MOO 청산,"전일 carry position을 익일 시가에 청산. SOXL @ 38.4907 (slippage −0.05%, commission 0.035%)"
2022-03-23,longbyungi,LONG,SOXL,STOP_BUY,1774544.00023636,39.10719212050437,0.0,,NEUTRAL,longbyungi,0,65108016.93170672,0.0,롱변기 진입,"NEUTRAL regime — SOXL intraday High가 시가 × (1+breakout_thr) 터치 → stop-buy 체결 (entry × 39.1072, slippage +0.05%)"
2022-03-24,longbyungi,LONG,SOXL,MOO_SELL,1774544.00023636,37.80108969497681,-2365503.218436561,,NEUTRAL,longbyungi,0,73461764.68156675,-7.450580596923828e-09,롱변기 익일 MOO 청산,"전일 carry position을 익일 시가에 청산. SOXL @ 37.8011 (slippage −0.05%, commission 0.035%)"
2022-03-24,longbyungi,LONG,SOXL,STOP_BUY,1745349.594089987,38.4064933400917,0.0,,NEUTRAL,longbyungi,0,73461764.68156675,-7.450580596923828e-09,롱변기 진입,"NEUTRAL regime — SOXL intraday High가 시가 × (1+breakout_thr) 터치 → stop-buy 체결 (entry × 38.4065, slippage +0.05%)"
2022-03-25,longbyungi,LONG,SOXL,MOO_SELL,1745349.594089987,42.04896469497681,6308237.8853747845,,NEUTRAL,longbyungi,0,73364456.91207016,73364456.91207016,롱변기 익일 MOO 청산,"전일 carry position을 익일 시가에 청산. SOXL @ 42.0490 (slippage −0.05%, commission 0.035%)"
2022-03-28,longbyungi,LONG,SOXL,STOP_BUY,1752884.7843061266,41.838909774770734,0.0,,NEUTRAL,longbyungi,0,74865707.53290072,0.0,롱변기 진입,"NEUTRAL regime — SOXL intraday High가 시가 × (1+breakout_thr) 터치 → stop-buy 체결 (entry × 41.8389, slippage +0.05%)"
2022-03-29,longbyungi,LONG,SOXL,MOO_SELL,1752884.7843061266,44.8175801525116,5168101.38767612,,NEUTRAL,longbyungi,0,78582052.23503236,0.0,롱변기 익일 MOO 청산,"전일 carry position을 익일 시가에 청산. SOXL @ 44.8176 (slippage −0.05%, commission 0.035%)"
2022-03-29,longbyungi,LONG,SOXL,STOP_BUY,1724046.7107987837,45.53535645495414,0.0,,NEUTRAL,longbyungi,0,78582052.23503236,0.0,롱변기 진입,"NEUTRAL regime — SOXL intraday High가 시가 × (1+breakout_thr) 터치 → stop-buy 체결 (entry × 45.5354, slippage +0.05%)"
2022-03-30,longbyungi,LONG,SOXL,MOO_SELL,1724046.7107987837,44.68764408493042,-1515937.7568045706,,BULL,longbyungi,0,77016620.5429417,77016620.5429417,롱변기 익일 MOO 청산,"전일 carry position을 익일 시가에 청산. SOXL @ 44.6876 (slippage −0.05%, commission 0.035%)"
2022-04-04,yangbyungi,LONG,SOXL,STOP_BUY,1243531.737537148,37.14726620944977,0.0,,BEAR,yangbyungi,1,78011111.83559951,30806648.21717668,양변기 v5 SOXL LONG 진입,"BEAR regime — SOXL intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
2022-04-05,yangbyungi,LONG,SOXL,MOO_SELL,1243531.737537148,37.0714551525116,-126576.1227954179,,NEUTRAL,longbyungi,0,76890044.42014629,76890044.42014629,양변기 v5 carry 익일 MOO 청산,LOC 미체결분 또는 다음날 강제청산. SOXL 시가 @ 37.0715
2022-04-07,yangbyungi,LONG,SOXL,STOP_BUY,1501277.1395420395,30.719101874999996,0.0,,BEAR,yangbyungi,2,76550252.30027713,42197277.89699511,양변기 v5 SOXL LONG 진입,"BEAR regime — SOXL intraday High가 시가 × (1+thr) 터치 → stop-buy. F1_A6 spec, RSI-based alloc 분기, gap filter 통과"
